mesto,avtor,naslov,producent,leto,zalozba,album
388,U2,Pride (In the Name of Love),"Brian Eno, Daniel Lanois",84,Island <br />15 weeks; No. 33,"""/music/music-album-reviews/the-unforgettable-fire-186786/""  rel=""nofollow""  target=""_blank""  >The Unforgettable Fire"
387,Ray Charles,Hit the Road Jack,Sid Feller,61,ABC-Paramount <br />11 weeks; No. 1,Ultimate Hits Collection
386,Yeah Yeah Yeahs,Maps,David Andrew Sitek,04,Interscope <br />13 weeks; No. 87,"""/music/music-album-reviews/fever-to-tell-113167/""  rel=""nofollow""  target=""_blank""  >Fever to Tell"
385,Radiohead,Fake Plastic Trees,John Leckie,95,Capitol <br />4 weeks; No. 65,"""/music/music-album-reviews/the-bends-118598/""  rel=""nofollow""  target=""_blank""  >The Bends"
384,Pink Floyd,Another Brick in the Wall Part 2,"Bob Ezrin, Waters, David Gilmour",79,Columbia <br />25 weeks; No. 1,The Wall
383,Chuck Berry,Brown Eyed Handsome Man,"Leonard Chess, Phil Chess",56,Chess <br />Did Not Chart,The Anthology
382,Sam Cooke,Wonderful World,"Cooke, Adler",60,RCA <br />15 weeks; No. 12,Portrait of a Legend 1951-1964
381,Television,Marquee Moon,Andy Johns,77,Elektra <br />Did Not Chart,"""/music/music-album-reviews/marquee-moon-2-251950/""  rel=""nofollow""  target=""_blank""  >Marquee Moon"
380,The Who,I Can't Explain,Shel Talmy,65,Decca <br />2 weeks; No. 93,The Ultimate Collection
379,The Jimi Hendrix Experience,The Wind Cries Mary,Chas Chandler,67,Reprise  <br />8 weeks; No. 65,"""/music/music-album-reviews/are-you-experienced-205453/""  rel=""nofollow""  target=""_blank""  >Are You Experienced?"
378,Bo Diddley,I'm a Man,Leonard Chess,55,Checker <br />Did Not Chart,His Best: The Chess 50th Anniversary Collection
377,Depeche Mode,Personal Jesus,"Depeche Mode, Flood",89,Sire <br />20 weeks; No. 28,"""/music/music-album-reviews/violator-255415/""  rel=""nofollow""  target=""_blank""  >Violator"
376,Cream,White Room,Felix Pappalardi,68,Atco <br />11 weeks; No. 6,"""/music/music-album-reviews/wheels-of-fire-95827/""  rel=""nofollow""  target=""_blank""  >Wheels of Fire"
375,Bee Gees,How Deep Is Your Love,"Bee Gees, Karl Richardson, Albhy Galuten",77,RSO<br />33 weeks; No. 1, Saturday Night Fever
374,The Righteous Brothers,Unchained Melody,Phil Spector,65,Philles<br />13 weeks; No. 4,Anthology 1962-1974
373,Bob Dylan,Highway 61 Revisited,Bob Johnston,65,Columbia<br />Did not chart,Highway 61 Revisited
372,The Box Tops,The Letter,Dan Penn,67,Mala<br />16 weeks; No. 1,The Letter
371,The Clash,Complete Control,"Lee ""Scratch"" Perry",79,Epic<br />Non-single,The Clash
370,The Beatles,All You Need is Love,George Martin,67,Capitol<br />11 weeks; No. 1,"""/music/music-album-reviews/magical-mystery-tour-179688/""  target=""_blank""  rel=""nofollow""  >Magical Mystery Tour"
369,Roberta Flack,Killing Me Softly With His Song,Joel Dorn,73,Atlantic<br />16 weeks; No. 1, Killing Me Softly&#xA0;
368,Muddy Waters,Got My Mojo Working,"Phil Chess, Leonard Chess, Willie Dixon",1957,Chess<br />Did not chart, The Anthology
